Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;test_antigenos_total;test_antigenos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla;antigenos_porcentaje
2024-09-02;Valladolid;88204;3707;576706;148139;779721;63682;47186;1444631;215528;4.2027572445694075;8.167280347714117;14.919242353237609;VA;25
2024-09-02;Castilla y León;543308;32428;2747099;613786;3474301;282713;99999;6764708;928927;5.968621849853122;8.137262718457611;13.731960049125549;CyL;22
2024-09-01;Ávila;47661;1998;213474;40032;199591;14375;5019;460726;56405;4.19210675394977;7.2022285573998825;12.242634450844971;AV;18
2024-09-01;Palencia;43255;1625;238140;46187;239968;21964;34120;521363;69776;3.756791122413594;9.15288705160688;13.383381636211238;PA;19
2024-09-01;Zamora;41798;1944;171332;41400;250691;20981;49275;463821;64325;4.650940236374946;8.36926734505826;13.868496682987619;ZA;24
2024-09-01;León;94937;6583;559570;106937;588051;52176;24089;1242558;165696;6.934072068845655;8.87269981685262;13.335071682770543;LE;19
2024-09-01;Salamanca;62158;3994;299919;83935;433013;35900;37274;795090;123829;6.42556066797516;8.290744157796649;15.574211724458866;SA;27
2024-09-01;Segovia;44274;5268;182265;31755;244146;20346;40004;470685;57369;11.898631250846998;8.333538128824555;12.188406258963001;SE;17
2024-09-01;Soria;42499;2778;110313;22868;175573;11505;42173;328385;37151;6.536624391162145;6.552829877031206;11.313245123863759;SO;20
2024-09-01;Castilla y León;543301;32426;2746907;613764;3474155;282709;99999;6764363;928899;5.968330630718515;8.137489547818102;13.732246480562916;CyL;22
2024-09-01;Burgos;78515;4529;395216;92512;563435;41781;9059;1037166;138822;5.76832452397631;7.415407278568069;13.384742654502752;BU;23
2024-09-01;Valladolid;88204;3707;576678;148138;779687;63681;47186;1444569;215526;4.2027572445694075;8.167508243692662;14.919744228209245;VA;25
2024-08-31;Ávila;47661;1998;213471;40032;199585;14375;5019;460717;56405;4.19210675394977;7.202445073527569;12.242873607876419;AV;18
2024-08-31;León;94937;6583;559545;106933;588034;52175;24089;1242516;165691;6.934072068845655;8.872786267460725;13.335120030647493;LE;19
2024-08-31;Segovia;44274;5268;182262;31754;244140;20346;40004;470676;57368;11.898631250846998;8.333742934381911;12.18842685839091;SE;17
2024-08-31;Castilla y León;543301;32426;2746812;613747;3474059;282705;99999;6764172;928878;5.968330630718515;8.137599275084275;13.73232377887493;CyL;22
2024-08-31;Burgos;78515;4529;395212;92511;563417;41780;9059;1037144;138820;5.76832452397631;7.415466696958026;13.3848337357204;BU;23
2024-08-31;Palencia;43255;1625;238110;46182;239961;21963;34120;521326;69770;3.756791122413594;9.15273731981447;13.383180581824043;PA;19
2024-08-31;Salamanca;62158;3994;299911;83934;433013;35900;37274;795082;123828;6.42556066797516;8.290744157796649;15.574242656732263;SA;27
2024-08-31;Soria;42499;2778;110311;22868;175570;11505;42173;328380;37151;6.536624391162145;6.552941846556928;11.313417382300992;SO;20
2024-08-31;Valladolid;88204;3707;576671;148137;779652;63680;47186;1444527;215524;4.2027572445694075;8.167746635678483;14.920039570046113;VA;25
2024-08-31;Zamora;41798;1944;171319;41396;250687;20981;49275;463804;64321;4.650940236374946;8.369400886364271;13.868142577468067;ZA;24
2024-08-30;León;94937;6583;559515;106930;588019;52175;24089;1242471;165688;6.934072068845655;8.873012606735497;13.33536154968607;LE;19
2024-08-30;Burgos;78515;4529;395209;92511;563393;41777;9059;1037117;138817;5.76832452397631;7.415250100728976;13.384892929148783;BU;23
2024-08-30;Segovia;44274;5268;182252;31752;244131;20346;40004;470657;57366;11.898631250846998;8.33405016159357;12.188493956320633;SE;17
2024-08-30;Castilla y León;543301;32426;2746714;613734;3473957;282702;99999;6763972;928862;5.968330630718515;8.137751848972224;13.732493274661692;CyL;22
2024-08-30;Ávila;47661;1998;213468;40031;199577;14375;5019;460706;56404;4.19210675394977;7.202733781948822;12.24294886543696;AV;18
2024-08-30;Palencia;43255;1625;238089;46178;239958;21963;34120;521302;69766;3.756791122413594;9.152851749056085;13.383029414811375;PA;19
2024-08-30;Salamanca;62158;3994;299901;83934;433013;35900;37274;795072;123828;6.42556066797516;8.290744157796649;15.574438541415118;SA;27
2024-08-30;Soria;42499;2778;110307;22868;175565;11505;42173;328371;37151;6.536624391162145;6.553128470936691;11.313727460707554;SO;20
2024-08-30;Valladolid;88204;3707;576664;148134;779614;63680;47186;1444482;215521;4.2027572445694075;8.168144748555054;14.920296687670737;VA;25
2024-08-30;Zamora;41798;1944;171309;41396;250687;20981;49275;463794;64321;4.650940236374946;8.369400886364271;13.868441592603615;ZA;24
2024-08-29;Ávila;47661;1998;213453;40031;199565;14375;5019;460679;56404;4.19210675394977;7.203166887981359;12.243666414140867;AV;18
2024-08-29;Burgos;78515;4529;395201;92510;563358;41776;9059;1037074;138815;5.76832452397631;7.415533284341396;13.385255054123427;BU;23
2024-08-29;León;94936;6582;559463;106923;588015;52175;24089;1242414;165680;6.933091767085195;8.8730729658257;13.335329447350079;LE;19
2024-08-29;Salamanca;62158;3994;299880;83934;433013;35900;37274;795051;123828;6.42556066797516;8.290744157796649;15.574849915288452;SA;27
2024-08-29;Segovia;44274;5268;182245;31752;244107;20346;40004;470626;57366;11.898631250846998;8.334869544912682;12.189296808931083;SE;17
2024-08-29;Valladolid;88204;3707;576632;148132;779582;63679;47186;1444418;215518;4.2027572445694075;8.168351757736838;14.920750087578527;VA;25
2024-08-29;Castilla y León;543300;32425;2746536;613717;3473814;282696;99999;6763650;928838;5.968157555678263;8.137914119754253;13.732792205392059;CyL;22
2024-08-29;Palencia;43255;1625;238072;46174;239943;21962;34120;521270;69761;3.756791122413594;9.15300717253681;13.382891783528688;PA;19
2024-08-29;Soria;42499;2778;110296;22867;175553;11504;42173;328348;37149;6.536624391162145;6.553006784275974;11.313910850682813;SO;20
2024-08-29;Zamora;41798;1944;171294;41394;250678;20979;49275;463770;64317;4.650940236374946;8.36890353361683;13.86829678504431;ZA;24
2024-08-28;Segovia;44273;5268;182234;31748;244096;20345;40004;470603;57361;11.89890000677614;8.334835474567383;12.188830075456382;SE;17
2024-08-28;Burgos;78514;4529;395188;92510;563303;41774;9059;1037005;138813;5.768397992714675;7.415902276394765;13.385952816042353;BU;23
2024-08-28;Palencia;43255;1625;238056;46171;239929;21961;34120;521240;69757;3.756791122413594;9.153124465987855;13.382894635868315;PA;19
2024-08-28;Valladolid;88204;3707;576604;148129;779537;63677;47186;1444345;215513;4.2027572445694075;8.168566726146418;14.921158033572313;VA;25
2024-08-28;Castilla y León;543297;32425;2746351;613693;3473632;282685;99999;6763280;928803;5.968190510899195;8.13802383211578;13.733025987390734;CyL;22
2024-08-28;Ávila;47661;1998;213443;40029;199547;14372;5019;460651;56399;4.19210675394977;7.202313239487439;12.243325207152486;AV;18
2024-08-28;León;94935;6582;559399;106917;587993;52173;24089;1242327;165672;6.933164796966346;8.873064815397463;13.335619365915738;LE;19
2024-08-28;Salamanca;62158;3994;299867;83930;433013;35900;37274;795038;123824;6.42556066797516;8.290744157796649;15.574601465590323;SA;27
2024-08-28;Soria;42499;2778;110281;22866;175548;11504;42173;328328;37148;6.536624391162145;6.553193428577939;11.314295460636924;SO;20
2024-08-28;Zamora;41798;1944;171279;41393;250666;20979;49275;463743;64316;4.650940236374946;8.369304173681314;13.86888858699754;ZA;24
2024-08-27;Salamanca;62158;3994;299855;83926;433013;35900;37274;795026;123820;6.42556066797516;8.290744157796649;15.574333418026582;SA;27
2024-08-27;Zamora;41798;1944;171249;41388;250659;20979;49275;463706;64311;4.650940236374946;8.369537898100607;13.868916943063061;ZA;24
2024-08-27;León;94934;6582;559327;106909;587978;52171;24089;1242239;165662;6.933237828386036;8.872951028779989;13.33575906085705;LE;19
2024-08-27;Palencia;43255;1625;238035;46168;239918;21960;34120;521208;69753;3.756791122413594;9.153127318500488;13.382948841921074;PA;19
2024-08-27;Valladolid;88204;3707;576578;148123;779488;63675;47186;1444270;215505;4.2027572445694075;8.168823638080381;14.921378966536727;VA;25
2024-08-27;Ávila;47661;1998;213431;40028;199525;14372;5019;460617;56398;4.19210675394977;7.203107380027565;12.244011836297835;AV;18
2024-08-27;Burgos;78512;4529;395172;92509;563276;41773;9059;1036960;138811;5.768544935805991;7.416080216448065;13.386340842462582;BU;23
2024-08-27;Segovia;44273;5268;182225;31747;244080;20344;40004;470578;57359;11.89890000677614;8.334972140281875;12.18905261189431;SE;17
2024-08-27;Soria;42499;2778;110275;22864;175543;11503;42173;328317;37145;6.536624391162145;6.5528104225175605;11.313760786069562;SO;20
2024-08-27;Castilla y León;543294;32425;2746147;613662;3473480;282677;99999;6762921;928764;5.968223466484076;8.13814963667561;13.733178311560938;CyL;22
2024-08-26;León;94932;6582;559264;106902;587952;52170;24089;1242148;165654;6.933383895841233;8.873173320271043;13.3360919954788;LE;19
2024-08-26;Salamanca;62156;3994;299834;83928;433013;35900;37274;795003;123822;6.425767423901152;8.290744157796649;15.575035565903525;SA;27
2024-08-26;Segovia;44273;5268;182219;31746;244070;20344;40004;470562;57358;11.89890000677614;8.335313639529643;12.189254550941216;SE;17
2024-08-26;Soria;42499;2778;110267;22862;175535;11503;42173;328301;37143;6.536624391162145;6.553109066567921;11.313702973795388;SO;20
2024-08-26;Zamora;41798;1944;171222;41381;250649;20977;49275;463669;64302;4.650940236374946;8.369073884196625;13.86808261928229;ZA;24
2024-08-26;Ávila;47661;1998;213417;40026;199511;14371;5019;460589;56395;4.19210675394977;7.20311160788127;12.244104830988148;AV;18
2024-08-26;Burgos;78512;4529;395161;92504;563241;41770;9059;1036914;138803;5.768544935805991;7.416008422682298;13.386163172644983;BU;23
2024-08-26;Valladolid;88204;3707;576546;148120;779439;63674;47186;1444189;215501;4.2027572445694075;8.169208879719902;14.921938887500183;VA;25
2024-08-26;Palencia;43255;1625;238024;46168;239909;21958;34120;521188;69751;3.756791122413594;9.152637041544919;13.383078658756533;PA;19
2024-08-26;Castilla y León;543290;32425;2745954;613637;3473319;282667;99999;6762563;928729;5.968267407830073;8.1382389581838;13.733387770287687;CyL;22
2024-08-25;León;94931;6582;559194;106888;587940;52170;24089;1242065;165640;6.9334569318768375;8.873354423920809;13.335856013976723;LE;19
2024-08-25;Salamanca;62156;3994;299812;83925;433012;35899;37274;794980;123818;6.425767423901152;8.290532363999151;15.574983018440717;SA;27
2024-08-25;Soria;42499;2778;110251;22860;175521;11503;42173;328271;37141;6.536624391162145;6.553631759162721;11.314127656722647;SO;20
2024-08-25;Valladolid;88204;3707;576509;148116;779400;63673;47186;1444113;215496;4.2027572445694075;8.169489350782653;14.922377957957583;VA;25
2024-08-25;Ávila;47661;1998;213404;40025;199498;14370;5019;460563;56393;4.19210675394977;7.203079730122608;12.244361791980685;AV;18
2024-08-25;Burgos;78510;4529;395156;92502;563217;41768;9059;1036883;138799;5.7686918863839;7.4159693333120265;13.386177611167316;BU;23
2024-08-25;Segovia;44271;5267;182212;31743;244054;20343;40004;470537;57353;11.89717874003298;8.335450351151795;12.188839559907084;SE;17
2024-08-25;Zamora;41798;1944;171200;41377;250633;20976;49275;463631;64297;4.650940236374946;8.3692091624008;13.868140827511535;ZA;24
2024-08-25;Palencia;43255;1625;238006;46168;239901;21958;34120;521162;69751;3.756791122413594;9.152942255346998;13.383746320721771;PA;19
2024-08-25;Castilla y León;543285;32424;2745744;613604;3473176;282660;99999;6762205;928688;5.968138269968801;8.138372486738362;13.733508522737775;CyL;22
2024-08-24;Ávila;47661;1998;213392;40020;199491;14368;5019;460544;56386;4.19210675394977;7.202329929671013;12.243346998332406;AV;18
2024-08-24;Burgos;78510;4529;395150;92500;563193;41768;9059;1036853;138797;5.7686918863839;7.416285358660353;13.38637203152231;BU;23
2024-08-24;León;94931;6582;559159;106880;587929;52170;24089;1242019;165632;6.9334569318768375;8.873520442094199;13.335705814484319;LE;19
2024-08-24;Palencia;43255;1625;237995;46167;239899;21958;34120;521149;69750;3.756791122413594;9.153018561978165;13.38388829298339;PA;19
2024-08-24;Valladolid;88204;3707;576498;148113;779367;63672;47186;1444069;215492;4.2027572445694075;8.16970695448999;14.92255563965434;VA;25
2024-08-24;Salamanca;62156;3994;299800;83924;433012;35899;37274;794968;123817;6.425767423901152;8.290532363999151;15.575092330760484;SA;27
2024-08-24;Segovia;44271;5267;182209;31743;244044;20343;40004;470524;57353;11.89717874003298;8.335791906377539;12.18917632256803;SE;17
2024-08-24;Soria;42499;2778;110242;22859;175509;11502;42173;328250;37139;6.536624391162145;6.553510076406338;11.314242193450113;SO;20
2024-08-24;Zamora;41798;1944;171180;41371;250627;20976;49275;463605;64291;4.650940236374946;8.36940952092153;13.86762437851188;ZA;24
2024-08-24;Castilla y León;543285;32424;2745625;613577;3473071;282656;99999;6761981;928657;5.968138269968801;8.138503359130867;13.733505018721583;CyL;22
